subj,lineup,exposure,target,resp_expec,resp_given,conf,conf_cat,age,suspect_id,filler_id,no_id,is_target,say_target,is_corr
131,W2,60s,absent,0,9,0,low,23,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
202,D1,60s,absent,0,3,5,med,26,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
77,D3,60s,present,3,1,2,low,38,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
84,YO,15s,present,3,1,2,low,28,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
112,D2,30s,present,7,7,4,med,36,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
244,W2,30s,present,3,4,7,high,22,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
269,D3,30s,present,3,1,7,high,29,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
124,W1,60s,present,7,6,3,low,21,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
198,D3,60s,present,7,7,5,med,18,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
142,D3,15s,present,3,0,3,low,39,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
11,D1,30s,present,3,3,9,high,28,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
106,D2,60s,absent,0,7,7,high,26,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
133,W1,30s,absent,0,8,6,med,32,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
58,W2,15s,present,3,3,9,high,26,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
74,YO,30s,present,7,7,6,med,25,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
270,W1,60s,present,3,4,7,high,24,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
189,D1,30s,absent,0,6,3,low,25,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
121,D2,15s,present,7,7,7,high,23,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
180,W2,15s,absent,0,9,6,med,24,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
158,W2,15s,absent,0,1,6,med,18,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
63,D3,15s,absent,0,4,5,med,30,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
155,D3,15s,absent,0,0,2,low,39,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
132,D2,60s,absent,0,2,6,med,32,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
104,D2,60s,absent,0,0,7,high,30,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
174,YO,30s,present,3,9,8,high,35,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
96,D1,15s,absent,0,4,1,low,24,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
107,D1,15s,absent,0,0,8,high,24,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
207,W1,15s,absent,0,2,8,high,29,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
44,D3,30s,present,7,0,8,high,26,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
209,D3,30s,present,7,1,1,low,32,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
41,W1,15s,absent,0,9,5,med,20,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
259,W1,15s,absent,0,2,4,med,32,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
147,D1,15s,absent,0,3,7,high,23,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
16,D2,15s,absent,0,6,3,low,33,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
57,D2,15s,absent,0,9,8,high,29,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
234,W1,30s,absent,0,6,2,low,40,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
71,W1,15s,present,3,3,5,med,27,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
5,D3,30s,absent,0,5,8,high,26,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
13,D3,30s,absent,0,9,6,med,34,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
