ID,sex,age,exposure,order,TP,parade_response,acc,lineup,corpus,parade,rt,conf,conf_rt
5ec875255c6a2700081554ac,Male,19,60s,0,Absent,0,1,W2,WYRED,nine,5559.125,6,3415.42
5f6b57f6b572cb02c30220f7,Male,33,60s,7,Present,0,0,W2,WYRED,nine,11954.155,1,4018.755
5ef0bca3ecae6d023f1eb94b,Male,25,60s,0,Absent,3,0,D3,DYVIS,nine,12346.915,3,6122.045
5f2ea9c0a638c92312e4ae5c,Female,25,15s,0,Absent,7,0,W2,WYRED,nine,8180.39,9,6840.575
5ea5404013b290516d7c7292,Female,23,60s,0,Absent,8,0,YO,YORVIS,nine,33062.185,6,11059.14
5fd79eee9feae6104c4e77c6,Female,26,60s,0,Absent,1,0,YO,YORVIS,nine,15689.145,6,5230.855
5cd071a4eb305c0001f9651e,Female,27,60s,0,Absent,5,0,W1,WYRED,nine,12351.735,1,6560.595
5f81c4ebe8159d28f4c5c134,Female,31,60s,0,Absent,5,0,YO,YORVIS,nine,5225.765,8,5449
5e7a35b598efeb0009e185a0,Female,30,15s,0,Absent,3,0,YO,YORVIS,nine,5643.895,8,3889.835
5f60d313747a9b045ec9b890,Male,25,15s,0,Absent,3,0,D2,DYVIS,nine,15169.05,5,6814.085
5e346dedaf532102529ce9da,Female,19,15s,0,Absent,3,0,D2,DYVIS,nine,8458.93,6,4408.78
5ea846a673b05225f050ff15,Male,29,30s,0,Absent,7,0,D2,DYVIS,nine,5938.005,2,6794.64
5875778b5c17910001ea4f35,Male,41,60s,0,Absent,6,0,D1,DYVIS,nine,6232.76,8,2780.395
5f7304ca84363102c83365d4,Female,21,30s,0,Absent,3,0,D1,DYVIS,nine,9547.26,7,5657.44
5f66f84a4a67562e9573fd99,Male,31,30s,0,Absent,7,0,D1,DYVIS,nine,7925.855,4,4252.5
5fc370fca0603a1bdd47f114,Male,23,15s,7,Present,7,1,YO,YORVIS,nine,13769.535,6,4071.32
5e8f0692facc7d1c12b4c9a1,Male,20,15s,0,Absent,5,0,YO,YORVIS,nine,5794.67,3,5611.29
5b9ca13a06114100010699b8,Female,39,15s,7,Present,4,0,D1,DYVIS,nine,12289.03,5,5011.74
5e189fdc87b37c174c87ab93,Male,29,15s,7,Present,7,1,D1,DYVIS,nine,12146.195,7,6724.99
5e863dd05ae5fb2749124adc,Male,23,60s,0,Absent,5,0,W2,WYRED,nine,10616.1,6,6110.09
5b97a1e083bd380001b92485,Male,31,60s,0,Absent,3,0,D1,DYVIS,nine,19154.595,6,3446.99
5a144041517dfb00013dc747,Female,25,60s,3,Present,2,0,D3,DYVIS,nine,4735.315,2,4044.725
5f9bd129e959ad4125aca7a6,Female,21,60s,3,Present,3,1,D3,DYVIS,nine,24583.045,6,5761.585
5f0cd2fec5c5856c0b47c2b2,Male,33,15s,3,Present,4,0,YO,YORVIS,nine,9111,7,13102
5be30116dd850e0001d2ba99,Male,26,30s,0,Absent,5,0,D2,DYVIS,nine,6935.66,8,3960.995
5e85a0213a32c319090feab4,Male,39,30s,7,Present,3,0,D2,DYVIS,nine,9081.825,6,7826.985
5f0727d3a69e9a08d496fd2e,Female,29,60s,7,Present,8,0,D2,DYVIS,nine,7235.195,8,3727.945
5fc00a11268eb941e7d8b066,Male,22,30s,3,Present,3,1,W2,WYRED,nine,9433.955,8,8538.1
5f56a4525e6f8a0fc2596d89,Male,23,30s,3,Present,1,0,D3,DYVIS,nine,6181.21,6,3503.395
5e42fb246aac8e19d21b5bd2,Male,20,30s,3,Present,6,0,D2,DYVIS,nine,8735.11,5,5712.51
5ffdd6d02b3bca3c02450f95,Male,32,60s,3,Present,3,1,W2,WYRED,nine,9029.09,7,8794.4
5cdead4b836810000178cda4,Female,28,60s,3,Present,3,1,W2,WYRED,nine,7245.01,7,11097.26
5f2ed63917f1c728d2032abc,Female,23,60s,7,Present,1,0,W1,WYRED,nine,12121.315,2,6846.955
5ffd5a764aaf1d286d48482a,Female,28,15s,7,Present,3,0,W1,WYRED,nine,12310.545,8,14419.095
5f2b236bd9d4cf51c1f1f733,Female,19,15s,7,Present,1,0,W1,WYRED,nine,7048.535,4,14215.54
575b2b408b705300078ae5e6,Female,32,60s,7,Present,2,0,D3,DYVIS,nine,17890.805,3,6414.595
5c3c68c0f5ebd5000185a99f,Female,34,15s,3,Present,8,0,D3,DYVIS,nine,3774.595,7,5123.56
5cdec451f833e50016931c1f,Male,40,30s,3,Present,7,0,D1,DYVIS,nine,9048.65,9,10068.12
586427b8e9cb31000195e623,Female,36,30s,7,Present,7,1,W1,WYRED,nine,8938.23,1,6304.02
5d8272296cca0b001759f562,Female,37,60s,7,Present,3,0,YO,YORVIS,nine,7482.41,4,9191.3
